tracker_mode,run_id,label,station_accuracy,side_accuracy,joint_station_side_accuracy,direction_accuracy_non_ambiguous
sensor_centroid_fused,4,gle350,0.29398663697104677,0.6681514476614699,0.23273942093541203,0.5654627539503386
sensor_centroid_fused,5,gle350,0.30998116760828626,0.6941619585687382,0.25348399246704334,0.5474006116207951
sensor_centroid_fused,6,cx30,0.28523489932885904,0.674496644295302,0.21588366890380314,0.5291428571428571
sensor_centroid_fused,7,cx30,0.2945007235890014,0.6700434153400868,0.23082489146164978,0.5162361623616236
sensor_centroid_geo,0,mustang,0.2850729517396184,0.569023569023569,0.19640852974186307,0.5028636884306987
sensor_centroid_geo,1,mustang,0.2851492268967997,0.5537576411362819,0.18374685364976628,0.5363802559414991
sensor_centroid_geo,2,miata,0.24103139013452915,0.5426008968609866,0.14349775784753363,0.5350467289719626
sensor_centroid_geo,3,miata,0.24032586558044808,0.543448744059742,0.1463000678886626,0.5065209728586535
sensor_centroid_geo,4,gle350,0.27060133630289535,0.5812917594654788,0.2071269487750557,0.5654627539503386
sensor_centroid_geo,5,gle350,0.3050847457627119,0.6342749529190207,0.239924670433145,0.5336391437308868
sensor_centroid_geo,6,cx30,0.2953020134228188,0.5883668903803132,0.20693512304250558,0.49714285714285716
sensor_centroid_geo,7,cx30,0.2778581765557164,0.6161360347322721,0.2178002894356006,0.5107011070110701
sensor_centroid_mic,0,mustang,0.3939393939393939,0.7890011223344556,0.3546576879910213,0.565864833906071
sensor_centroid_mic,1,mustang,0.3282991729593671,0.6709816612729234,0.24199928083423228,0.5755027422303474
sensor_centroid_mic,2,miata,0.25,0.6177130044843049,0.16928251121076232,0.5210280373831776
sensor_centroid_mic,3,miata,0.2654446707399864,0.6463000678886626,0.19042769857433808,0.5248501938667607
sensor_centroid_mic,4,gle350,0.2717149220489978,0.6447661469933185,0.20824053452115812,0.5711060948081265
sensor_centroid_mic,5,gle350,0.296045197740113,0.6651600753295669,0.2222222222222222,0.5542813455657493
sensor_centroid_mic,6,cx30,0.25727069351230425,0.6901565995525727,0.19239373601789708,0.512
sensor_centroid_mic,7,cx30,0.290520984081042,0.6226483357452967,0.21128798842257598,0.5498154981549815
template_fused,0,mustang,0.4287317620650954,0.6599326599326599,0.3378226711560045,0.2004581901489118
template_fused,1,mustang,0.3818770226537217,0.5850413520316433,0.26429341963322545,0.24021937842778793
template_fused,2,miata,0.31390134529147984,0.5246636771300448,0.15807174887892378,0.002336448598130841
template_fused,3,miata,0.3774609640190088,0.5400543109300747,0.21961982348947726,0.1427564328516038
template_fused,4,gle350,0.33964365256124723,0.522271714922049,0.16703786191536749,0.03724604966139955
template_fused,5,gle350,0.4056497175141243,0.6003766478342749,0.27984934086629004,0.17392966360856268
template_fused,6,cx30,0.3087248322147651,0.5615212527964206,0.18568232662192394,0.07657142857142857
template_fused,7,cx30,0.36324167872648333,0.571273516642547,0.23842257597684516,0.13173431734317342
template_geo,0,mustang,0.31874298540965207,0.5645342312008979,0.20426487093153758,0.21649484536082475
template_geo,1,mustang,0.29845379359942464,0.5361380798274002,0.1700827040632866,0.19597806215722122
template_geo,2,miata,0.30829596412556054,0.5325112107623319,0.16367713004484305,0.02570093457943925
template_geo,3,miata,0.32858112695179903,0.5095044127630686,0.1690427698574338,0.1737751145576313
template_geo,4,gle350,0.32293986636971045,0.5412026726057907,0.16481069042316257,0.08013544018058691
template_geo,5,gle350,0.3751412429378531,0.5800376647834274,0.24821092278719398,0.1326452599388379
template_geo,6,cx30,0.32102908277404923,0.5559284116331096,0.21029082774049218,0.12457142857142857
template_geo,7,cx30,0.3592619392185239,0.5643994211287988,0.23842257597684516,0.14317343173431735
template_mic,0,mustang,0.5016835016835017,0.7037037037037037,0.41301907968574636,0.21878579610538373
template_mic,1,mustang,0.4286227975548364,0.6242358863718087,0.3175116864437253,0.23290676416819012
template_mic,2,miata,0.31390134529147984,0.5224215246636771,0.15807174887892378,0.002336448598130841
template_mic,3,miata,0.43075356415478616,0.6001357773251867,0.29938900203665986,0.18928445541064504
template_mic,4,gle350,0.36080178173719374,0.5423162583518931,0.19710467706013363,0.06772009029345373
template_mic,5,gle350,0.40527306967984933,0.5958568738229755,0.2787193973634652,0.1636085626911315
template_mic,6,cx30,0.2930648769574944,0.5704697986577181,0.18008948545861297,0.08228571428571428
template_mic,7,cx30,0.3465991316931983,0.5520984081041969,0.21454413892908827,0.14354243542435424
viterbi_fused,0,mustang,0.2772166105499439,0.5050505050505051,0.13804713804713806,0.0
viterbi_fused,1,mustang,0.2686084142394822,0.4994606256742179,0.1262135922330097,0.0
viterbi_fused,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
viterbi_fused,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
viterbi_fused,4,gle350,0.3151447661469933,0.5133630289532294,0.13474387527839643,0.0
viterbi_fused,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
viterbi_fused,6,cx30,0.3076062639821029,0.5313199105145414,0.1599552572706935,0.0
viterbi_fused,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
viterbi_geo,0,mustang,0.2772166105499439,0.5050505050505051,0.13804713804713806,0.0
viterbi_geo,1,mustang,0.2686084142394822,0.4994606256742179,0.1262135922330097,0.0
viterbi_geo,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
viterbi_geo,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
viterbi_geo,4,gle350,0.3151447661469933,0.5133630289532294,0.13474387527839643,0.0
viterbi_geo,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
viterbi_geo,6,cx30,0.3076062639821029,0.5313199105145414,0.1599552572706935,0.0
viterbi_geo,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
viterbi_mic,0,mustang,0.2772166105499439,0.494949494949495,0.13916947250280584,0.0
viterbi_mic,1,mustang,0.2686084142394822,0.5055735346997483,0.12837108953613807,0.0
viterbi_mic,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
viterbi_mic,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
viterbi_mic,4,gle350,0.3273942093541203,0.5133630289532294,0.155902004454343,0.0
viterbi_mic,5,gle350,0.30282485875706217,0.5088512241054614,0.15141242937853108,0.0
viterbi_mic,6,cx30,0.28635346756152125,0.5313199105145414,0.14988814317673377,0.0
viterbi_mic,7,cx30,0.3125904486251809,0.5123010130246021,0.1479739507959479,0.0
